,date,Microsoft
0,2010-01-01,98
1,2010-02-01,98
2,2010-03-01,100
3,2010-04-01,94
4,2010-05-01,90
5,2010-06-01,88
6,2010-07-01,80
7,2010-08-01,84
8,2010-09-01,87
9,2010-10-01,89
10,2010-11-01,88
11,2010-12-01,80
12,2011-01-01,85
13,2011-02-01,83
14,2011-03-01,80
15,2011-04-01,77
16,2011-05-01,77
17,2011-06-01,73
18,2011-07-01,67
19,2011-08-01,69
20,2011-09-01,72
21,2011-10-01,73
22,2011-11-01,72
23,2011-12-01,67
24,2012-01-01,70
25,2012-02-01,68
26,2012-03-01,68
27,2012-04-01,64
28,2012-05-01,63
29,2012-06-01,68
30,2012-07-01,61
31,2012-08-01,64
32,2012-09-01,68
33,2012-10-01,75
34,2012-11-01,74
35,2012-12-01,64
36,2013-01-01,68
37,2013-02-01,69
38,2013-03-01,66
39,2013-04-01,63
40,2013-05-01,60
41,2013-06-01,56
42,2013-07-01,56
43,2013-08-01,58
44,2013-09-01,66
45,2013-10-01,65
46,2013-11-01,64
47,2013-12-01,61
48,2014-01-01,61
49,2014-02-01,62
50,2014-03-01,59
51,2014-04-01,60
52,2014-05-01,56
53,2014-06-01,54
54,2014-07-01,50
55,2014-08-01,55
56,2014-09-01,61
57,2014-10-01,58
58,2014-11-01,62
59,2014-12-01,56
60,2015-01-01,58
61,2015-02-01,58
62,2015-03-01,57
63,2015-04-01,56
64,2015-05-01,55
65,2015-06-01,56
66,2015-07-01,55
67,2015-08-01,60
68,2015-09-01,61
69,2015-10-01,62
70,2015-11-01,57
71,2015-12-01,56
72,2016-01-01,47
73,2016-02-01,49
74,2016-03-01,47
75,2016-04-01,45
76,2016-05-01,43
77,2016-06-01,43
78,2016-07-01,40
79,2016-08-01,43
80,2016-09-01,46
81,2016-10-01,45
82,2016-11-01,45
83,2016-12-01,42
84,2017-01-01,42
85,2017-02-01,42
86,2017-03-01,44
87,2017-04-01,39
88,2017-05-01,41
89,2017-06-01,38
90,2017-07-01,36
91,2017-08-01,38
92,2017-09-01,41
93,2017-10-01,41
94,2017-11-01,42
95,2017-12-01,38
96,2018-01-01,40
97,2018-02-01,41
98,2018-03-01,39
99,2018-04-01,37
100,2018-05-01,37
101,2018-06-01,37
102,2018-07-01,35
103,2018-08-01,37
104,2018-09-01,39
105,2018-10-01,39
106,2018-11-01,39
107,2018-12-01,34
108,2019-01-01,37
109,2019-02-01,37
110,2019-03-01,36
111,2019-04-01,34
112,2019-05-01,34
113,2019-06-01,34
114,2019-07-01,33
115,2019-08-01,36
116,2019-09-01,39
117,2019-10-01,41
118,2019-11-01,39
119,2019-12-01,36
120,2020-01-01,40
121,2020-02-01,40
122,2020-03-01,60
123,2020-04-01,69
