Date, Close/Last, Volume, Open, High, Low
03/27/2020, 2541.47, 0, 2555.87, 2615.91, 2520.02
03/26/2020, 2630.07, 0, 2501.29, 2637.01, 2500.72
03/25/2020, 2475.56, 0, 2457.77, 2571.42, 2407.53
03/24/2020, 2447.33, 0, 2344.44, 2449.71, 2344.44
03/23/2020, 2237.4, 0, 2290.71, 2300.73, 2191.86
03/20/2020, 2304.92, 0, 2431.94, 2453.01, 2295.56
03/19/2020, 2409.39, 0, 2393.48, 2466.97, 2319.78
03/18/2020, 2398.1, 0, 2436.5, 2453.57, 2280.52
03/17/2020, 2529.19, 0, 2425.66, 2553.93, 2367.04
03/16/2020, 2386.13, 0, 2508.59, 2562.98, 2380.94
03/13/2020, 2711.02, 0, 2569.99, 2711.33, 2492.37
03/12/2020, 2480.64, 0, 2630.86, 2660.95, 2478.86
03/11/2020, 2741.38, 0, 2825.6, 2825.6, 2707.22
03/10/2020, 2882.23, 0, 2813.48, 2882.59, 2734
03/09/2020, 2746.56, 0, 2863.89, 2863.89, 2734.43
03/06/2020, 2972.37, 0, 2954.2, 2985.93, 2901.54
03/05/2020, 3023.94, 0, 3075.7, 3083.04, 2999.83
03/04/2020, 3130.12, 0, 3045.75, 3130.97, 3034.38
03/03/2020, 3003.37, 0, 3096.46, 3136.72, 2976.63
03/02/2020, 3090.23, 0, 2974.28, 3090.96, 2945.19
02/28/2020, 2954.22, 0, 2916.9, 2959.72, 2855.84
